"id_bradesco","unit_name","data_inicio_automacao","dias_antes_automacao"
1387,"1387 V.BANDEIRANTES-UCG","08/15/25",24
3439,"3439 BANCARIOS -URB – JOÃO PESSOA","08/15/25",24
6513,"6513 AV.DEP.PLINIO RIBEIRO-M.C","08/15/25",23
382,"382 TUBARAO","08/15/25",23
665,"665 CTO EMPRESARIAL - USP","08/15/25",23
5507,"5507 BRASILIA DE MINAS","08/15/25",22
214,"214 VALINHOS","08/15/25",22
2608,"2608 CARLITO PAMPLONA-UFO","08/15/25",22
869,"869 IBOTIRAMA","09/01/25",38
3065,"3065 TEOFILO OTONI","09/01/25",38
480,"480 BRAGANCA PTA. CENTRO","09/01/25",38
605,"605 AV.AMOREIRAS-U.CAMP.","09/01/25",38
2159,"2159 SAPE","09/01/25",38
2118,"2118 STO.ANTONIO-U.CAMPIN","09/01/25",37
3173,"3173 MQ.CARAVELAS-USA","09/01/25",37
3231,"3231 PITUBA-USA","09/01/25",37
2009,"2009 MAMANGUAPE","09/01/25",37
6032,"6032 JUSC.KUBITSCHEK-U.BARREIRAS,BA","09/01/25",34
2121,"2121 TIRIRICAL-USL","09/01/25",34
670,"670 SAUDE-USP","09/01/25",34
971,"971 FLORIANO","09/01/25",33
502,"502 CEASA-USP","09/01/25",33
2387,"2387 JD ROSOLEM - URB HORTOLÂNDIA","09/01/25",32
2216,"2216 PERUS-USP","09/01/25",32
2917,"2917 JD.SANTANA-URB.CAMP.","09/01/25",32
344,"344 CONCORDIA","09/01/25",31
1397,"1397 TAQUARAL-UR.CAMPINAS","09/01/25",31
301,"301 AV.ANTARTICA-USP","09/01/25",31
1915,"1915 CERQUILHO","09/01/25",31
3679,"3679 AV.DOM JOAO VI - USA","09/01/25",31
384,"384 VIDEIRA","09/01/25",30
1088,"1088 PRIME LARGO DO MACHADO URB. RIO DE JANEI","09/01/25",30
2358,"2358 SAO JOAO DOS PATOS","09/01/25",30
3072,"3072 CAMPO GRANDE-USA","09/01/25",30
315,"315 COSMOPOLIS","09/01/25",30
832,"832 AV.ARIO BARNABE U.INDAI","09/01/25",27
1977,"1977 STA.ISABEL","09/01/25",27
970,"970 JD AMANDA URB HORTOLANDIA","09/01/25",27
3736,"3736 COMPENSA-UMA","09/01/25",27
675,"675 CAETITE","09/01/25",26
117,"117 N.SRA.DO O-USP","09/01/25",26
2120,"2120 JOCKEY-U.TERES.","09/01/25",26
2772,"2772 ROCHA MIRANDA-URJ","09/01/25",25
3456,"3456 AV.PONTES VIEIRA-UFO","09/01/25",25
2055,"2055 RIO BONITO","09/01/25",24
1122,"1122 AV.SOUZA FILHO UPETR","09/01/25",24
484,"484 AVENIDA-U.BRASILIA","09/01/25",20
1780,"1780 PRIME AV.T 63-U.GOIA","09/01/25",20
6453,"6453 R.D PEDRO II-U PONTA GROSSA PR","09/01/25",20
3101,"3101 PETROLINA-CENTRO","09/01/25",20
575,"575 BAIRRO CAVALEIROS-URB. MACAÉ-RJ","09/01/25",19
807,"807 RIO MARIA","09/01/25",19
601,"601 PARADA DE TAIPAS URB SP","09/01/25",19
1983,"1983 DOM PEDRO","09/01/25",19
1849,"1849 TERENOS","09/01/25",19
1024,"1024 ANJO DA GUARDA URB. SAO L","09/01/25",19
330,"330 ITAJAI-CENTRO","09/01/25",18
905,"905 XINGUARA","09/01/25",17
2482,"2482 LUIS EDUAR.MAGALHAES","09/01/25",17
627,"627 PQ.DA UVA-U.JUNDIAI","09/01/25",17
2304,"2304 AV.DR.T.PENTEADO UGU","09/15/25",30
3603,"3603 BARRA DO CHOCA","09/01/25",16
3045,"3045 JUAZEIRO-CENTRO","09/01/25",16
3350,"3350 PC.NOVA SUICA-UGO","09/15/25",27
2902,"2902 JUSTINOPOLIS-R.NEVES","09/15/25",26
52,"52 ARAPONGAS","09/15/25",25
2113,"2113 GAMA-CID.SATELITE","09/15/25",25
5493,"5493 PARNARAMA-MA","09/15/25",25
3637,"3637 AMARGOSA","09/15/25",24
3528,"3528 LIVRAMENTO N.SENHORA","09/15/25",24
3310,"3310 PC.EVANGELHO-U.SUMAR","09/15/25",24
2729,"2729 MINEIRAO-UBH","09/15/25",24
2733,"2733 V.CANAA-UGO","09/15/25",23
6345,"6345 MAURICIO DE NASSAU","09/15/25",23
1514,"1514 PRACA SAO FRANCISCO URB MARABA PA","09/15/25",20
3009,"3009 BRUMADO","09/15/25",20
3027,"3027 GANDU","09/15/25",20
624,"624 CAMBEBA - U FORT -CE","09/15/25",19
883,"883 RIO DAS OSTRAS","09/15/25",19
649,"649 PARANGABA - U FORT -CE","09/15/25",19
586,"586 SERRA TALHADA","09/15/25",19
1478,"1478 ITAPEMIRIM","09/15/25",19
163,"163 NAVEGANTES SC","09/15/25",19
322,"322 SUMARE-CTO.","09/15/25",19
2805,"2805 ITAIPAVA-DIST.PETROP","09/15/25",18
1147,"1147 AV.PERIMETRAL NORTE-URB.GOIÂNIA-GO","09/15/25",18
888,"888 BAIRRO VISTA VERDE URB. SJC","09/15/25",18
553,"553 CACHOEIRO ITAPEMIRIM","09/15/25",18
1474,"1474 GUARAPARI","09/15/25",18
437,"437 AUTAZES","09/15/25",17
645,"645 JOSE WALTER - U FORT -CE","09/15/25",17
3154,"3154 V.PAULISTA-U.TAUBATE","09/15/25",17
1409,"1409 SETOR INDL-UBRASIL.","09/15/25",17
2741,"2741 PC.8 DEZEMBRO-UGUAR.","09/15/25",17
2718,"2718 BOM CLIMA-U.GUARUL.","09/15/25",17
546,"546 MARABA-CENTRO","09/15/25",17
