id_bradesco,unit_name,data_inicio,dias_antes_automacao,reference_id,unit_id
3037,3037 ITABERABA,07/31/25,40,4542,3924
235,235 PC.MUNICIPAL-USA,07/31/25,40,4492,3923
3707,3707 MANACAPURU,07/31/25,40,4449,3921
2807,2807 B.SANTA ROSA-U.NIT.,07/31/25,37,4456,3932
1804,1804 FREGUESIA-URJ,07/31/25,37,4491,3933
2371,2371 AV.JUL.CASTILHOS-UCG,07/31/25,37,4517,3934
1629,1629 PRAIA BOTAFOGO-URJ,07/31/25,37,4564,3935
1800,1800 GOIANA,07/31/25,36,4629,3939
6536,"6536 RUA CEL.ALFREDO SOARES,RJ",07/31/25,36,4467,3938
3266,3266 CAMPO POLVORA-USA,07/31/25,36,4318,3937
320,320 MANAUS-CENTRO,07/31/25,35,4231,3946
3291,3291 ARAGUAINA,07/31/25,35,4402,3940
525,525 GUARUJA-CENTRO,07/31/25,35,4723,3944
158,158 CABREUVA,07/31/25,35,4720,3943
3300,3300 GUARAI,07/31/25,35,4444,3941
48,48 PARANAGUA,07/31/25,35,4529,3942
2474,2474 PRES.ALTINO-URB.OSAS,07/31/25,35,4742,3945
543,543 S.GONCALO-CENTRO,07/31/25,34,4457,3950
659,659 SIRINHAEM,07/31/25,34,4695,3954
2350,2350 JD.LONDRES U.CAMPIN.,07/31/25,34,4770,3955
295,295 CAUCAIA,07/31/25,34,4579,3936
3237,3237 LGO.DO TANQUE-USA,07/31/25,34,4283,3947
2100,2100 CEL.ANTONINO-UCG,07/31/25,34,4548,3953
1940,1940 UBA,07/31/25,34,4302,3948
2157,2157 MATINHOS,07/31/25,34,4518,3952
133,133 ITAIM-USP,07/31/25,33,4503,3957
3732,3732 PRES FIGUEIREDO,07/31/25,33,4538,3958
1230,1230 CAXANGA-URE,07/31/25,33,4065,3956
114,114 BOM RETIRO-USP,07/31/25,33,4773,3959
2089,2089 QUEIMADOS,07/31/25,30,4417,3960
3613,3613 IPIRA,07/31/25,30,4536,3961
99,99 CENTRAL,07/31/25,30,4741,3963
2405,2405 PIRAJUCARA-U.T.SERRA,07/31/25,30,4761,3964
323,323 VINHEDO - VINHEDO,07/31/25,30,4776,3965
2378,2378 LGO.DO BICAO URB.RJ.,07/31/25,30,4799,3966
2105,2105 BAYEUX,07/31/25,29,4571,3975
2187,2187 ITAIPU-UNITEROI,07/31/25,29,4483,3973
3189,3189 CENTER LAPA-USA,07/31/25,29,4285,3970
493,493 CAMPINA GRANDE -CENTRO,07/31/25,29,4507,3974
1695,1695 SALGUEIRO,07/31/25,28,4718,3977
1443,1443 JD.BONFIGLIOLI-USP,07/31/25,28,4717,3976
98,98 RANGEL PESTANA-USP,07/31/25,28,4736,3978
1972,1972 GUAIBA,07/31/25,26,4549,3980
1790,1790 GRAJAU-URJ,07/31/25,26,4802,3984
262,262 MIRACEMA DO TOCANTIN,07/31/25,26,4620,3981
1253,1253 ITAPEVI-CTO,07/31/25,26,4719,3982
56,56 ADAMANTINA,08/15/25,41,4757,3983
592,592 GRACA-USA,08/15/25,35,4296,3988
860,860 CAPELINHA,08/15/25,35,4472,3989
21,21 OSVALDO CRUZ-SP,08/15/25,35,4754,3992
1522,1522 PARNAIBA,08/15/25,34,4442,3995
2108,2108 CRUZ DAS ARMAS-UJP,08/15/25,34,4574,3998
2340,2340 BAIRRO MANGABEIRA-URB.JOÃO PESSOA-PB,08/15/25,34,,
527,527 S.ROQUE,08/15/25,34,4769,3999
1499,1499 ABOLICAO-URJ,07/31/25,17,4523,3996
5792,5792 BARRAS,08/15/25,31,4445,3979
2214,2214 MEIRELES-UFO,08/15/25,31,4747,4005
3015,3015 CANAVIEIRAS,07/31/25,16,4801,3967
1877,1877 TIMBAUBA,07/31/25,16,4693,4004
5246,5246 AV.ZAHRAN-U CAMPO GRANDE- MS,07/31/25,16,4455,4002
1364,1364 R. DR. MOREIRA-U MANAUS- AM,08/15/25,29,4406,4012
2646,2646 JD.DO TREVO-URB.CAMP,08/15/25,28,4791,4015
551,551 LEBLON-URJ,08/15/25,27,4821,4019
393,393 ITATIBA-CENTRO,08/15/25,27,4825,4020
3601,3601 IBIPEBA,08/15/25,27,4627,4017
3549,3549 XIQUE-XIQUE,08/15/25,27,4706,4018
435,435 JOAO PESSOA-CENTRO,08/15/25,24,4588,4434
2425,2425 ITAPUA-USA,08/15/25,24,4375,4277
5810,"5810 S.RAIMUNDO NONATO, PI",08/15/25,24,4603,4446
1387,1387 V.BANDEIRANTES-UCG,08/15/25,24,4469,4340
3439,3439 BANCARIOS -URB – JOÃO PESSOA,08/15/25,24,,
6513,6513 AV.DEP.PLINIO RIBEIRO-M.C,08/15/25,23,4829,4580
382,382 TUBARAO,08/15/25,23,4562,4412
665,665 CTO EMPRESARIAL - USP,08/15/25,23,4543,4394
5507,5507 BRASILIA DE MINAS,08/15/25,22,4831,4581
214,214 VALINHOS,08/15/25,22,4777,4539
2608,2608 CARLITO PAMPLONA-UFO,08/15/25,22,4618,4460
869,869 IBOTIRAMA,09/01/25,38,4697,4474
3065,3065 TEOFILO OTONI,09/01/25,38,4475,4345
480,480 BRAGANCA PTA. CENTRO,09/01/25,38,4836,4583
605,605 AV.AMOREIRAS-U.CAMP.,09/01/25,38,4909,4644
2159,2159 SAPE,09/01/25,38,4889,4628
2118,2118 STO.ANTONIO-U.CAMPIN,09/01/25,37,4937,4664
3173,3173 MQ.CARAVELAS-USA,09/01/25,37,4502,4366
3231,3231 PITUBA-USA,09/01/25,37,4249,4191
2009,2009 MAMANGUAPE,09/01/25,37,4875,4616
6032,"6032 JUSC.KUBITSCHEK-U.BARREIRAS,BA",09/01/25,34,4709,4483
2121,2121 TIRIRICAL-USL,09/01/25,34,4699,4475
670,670 SAUDE-USP,09/01/25,34,4809,4564
971,971 FLORIANO,09/01/25,33,4570,4418
502,502 CEASA-USP,09/01/25,33,4800,4557
2387,2387 JD ROSOLEM - URB HORTOLÂNDIA,09/01/25,32,,
2216,2216 PERUS-USP,09/01/25,32,4911,4645
2917,2917 JD.SANTANA-URB.CAMP.,09/01/25,32,4957,4678
344,344 CONCORDIA,09/01/25,31,4601,4444
1397,1397 TAQUARAL-UR.CAMPINAS,09/01/25,31,4933,4661
301,301 AV.ANTARTICA-USP,09/01/25,31,4908,4643
1915,1915 CERQUILHO,09/01/25,31,4848,4593
3679,3679 AV.DOM JOAO VI - USA,09/01/25,31,4553,4404
384,384 VIDEIRA,09/01/25,30,4606,4449
1088,1088 PRIME LARGO DO MACHADO URB. RIO DE JANEI,09/01/25,30,4912,4646
2358,2358 SAO JOAO DOS PATOS,09/01/25,30,4545,4396
3072,3072 CAMPO GRANDE-USA,09/01/25,30,4484,4353
315,315 COSMOPOLIS,09/01/25,30,4898,4634
832,832 AV.ARIO BARNABE U.INDAI,09/01/25,27,4978,4701
1977,1977 STA.ISABEL,09/01/25,27,4951,4673
970,970 JD AMANDA URB HORTOLANDIA,09/01/25,27,4954,4675
3736,3736 COMPENSA-UMA,09/01/25,27,4459,4333
675,675 CAETITE,09/01/25,26,4828,4579
117,117 N.SRA.DO O-USP,09/01/25,26,4794,4552
2120,2120 JOCKEY-U.TERES.,09/01/25,26,4383,4284
2772,2772 ROCHA MIRANDA-URJ,09/01/25,25,4938,4665
3456,3456 AV.PONTES VIEIRA-UFO,09/01/25,25,4842,4587
2055,2055 RIO BONITO,09/01/25,24,4827,4578
1122,1122 AV.SOUZA FILHO UPETR,09/01/25,24,4782,4542
484,484 AVENIDA-U.BRASILIA,09/01/25,20,4700,4476
1780,1780 PRIME AV.T 63-U.GOIA,09/01/25,20,4900,4636
6453,6453 R.D PEDRO II-U PONTA GROSSA PR,09/01/25,20,4573,4420
3101,3101 PETROLINA-CENTRO,09/01/25,20,4783,4543
575,575 BAIRRO CAVALEIROS-URB. MACAÉ-RJ,09/01/25,19,,
807,807 RIO MARIA,09/01/25,19,4841,4586
601,601 PARADA DE TAIPAS URB SP,09/01/25,19,4939,4666
1983,1983 DOM PEDRO,09/01/25,19,4489,4355
1849,1849 TERENOS,09/01/25,19,4586,4432
1024,1024 ANJO DA GUARDA URB. SAO L,09/01/25,19,4613,4455
330,330 ITAJAI-CENTRO,09/01/25,18,4202,4150
905,905 XINGUARA,09/01/25,17,4844,4589
2482,2482 LUIS EDUAR.MAGALHAES,09/01/25,17,4735,4499
627,627 PQ.DA UVA-U.JUNDIAI,09/01/25,17,5004,4705
2304,2304 AV.DR.T.PENTEADO UGU,09/15/25,30,4917,4651
3603,3603 BARRA DO CHOCA,09/01/25,16,4854,4598
3045,3045 JUAZEIRO-CENTRO,09/01/25,16,4787,4547
3350,3350 PC.NOVA SUICA-UGO,09/15/25,27,4813,4566
2902,2902 JUSTINOPOLIS-R.NEVES,09/15/25,26,4882,4622
52,52 ARAPONGAS,09/15/25,25,4876,4617
2113,2113 GAMA-CID.SATELITE,09/15/25,25,4554,4405
5493,5493 PARNARAMA-MA,09/15/25,25,4557,4407
3637,3637 AMARGOSA,09/15/25,24,5036,4713
3528,3528 LIVRAMENTO N.SENHORA,09/15/25,24,4785,4545
3310,3310 PC.EVANGELHO-U.SUMAR,09/15/25,24,4986,4712
2729,2729 MINEIRAO-UBH,09/15/25,24,4807,4562
2733,2733 V.CANAA-UGO,09/15/25,23,4811,4565
6345,6345 MAURICIO DE NASSAU,09/15/25,23,4966,4685
1514,1514 PRACA SAO FRANCISCO URB MARABA PA,09/15/25,20,4855,4599
3009,3009 BRUMADO,09/15/25,20,4786,4546
3027,3027 GANDU,09/15/25,20,4269,4207
624,624 CAMBEBA - U FORT -CE,09/15/25,19,4958,4679
883,883 RIO DAS OSTRAS,09/15/25,19,4858,4602
