unit_id,data,hora,metodo,consumo_kwh_total,qtd_dispositivos
165,2025-05-22,11,indireto,2.742,1
165,2025-05-22,12,indireto,5.526,1
165,2025-05-22,13,indireto,5.862,1
165,2025-05-22,14,indireto,5.862,1
165,2025-05-22,15,indireto,5.862,1
165,2025-05-22,16,indireto,5.862,1
165,2025-05-22,17,indireto,4.951,1
165,2025-05-22,18,indireto,2.634,1
231,2025-02-18,0,indireto,0.368,1
231,2025-02-18,6,indireto,0.054,1
231,2025-02-18,7,indireto,5.829,2
231,2025-02-18,8,indireto,4.733,2
231,2025-02-18,9,indireto,5.233,2
231,2025-02-18,10,indireto,5.361,2
231,2025-02-18,11,indireto,5.079,2
231,2025-02-18,12,indireto,5.468,2
231,2025-02-18,13,indireto,5.684,2
231,2025-02-18,14,indireto,5.628,2
231,2025-02-18,15,indireto,5.923,2
231,2025-02-18,16,indireto,5.056,2
231,2025-02-18,17,indireto,5.299,2
231,2025-02-18,18,indireto,5.116,2
231,2025-02-18,19,indireto,5.011,2
231,2025-02-18,20,indireto,5.245,2
231,2025-02-18,21,indireto,4.966,2
231,2025-02-18,22,indireto,3.489,2
231,2025-02-18,23,indireto,0.884,1
231,2025-02-19,7,indireto,5.137,2
231,2025-02-19,8,indireto,4.876,2
231,2025-02-19,9,indireto,4.868,2
231,2025-02-19,10,indireto,5.541,2
231,2025-02-19,11,indireto,5.582,2
231,2025-02-19,12,indireto,5.382,2
231,2025-02-19,13,indireto,5.349,2
231,2025-02-19,14,indireto,5.549,2
231,2025-02-19,15,indireto,5.682,2
231,2025-02-19,16,indireto,5.759,2
231,2025-02-19,17,indireto,5.796,2
231,2025-02-19,18,indireto,5.793,2
231,2025-02-19,19,indireto,5.607,2
231,2025-02-19,20,indireto,4.645,2
231,2025-02-19,21,indireto,4.684,2
231,2025-02-19,22,indireto,2.617,2
231,2025-02-19,23,indireto,1.244,1
231,2025-02-20,7,indireto,7.024,2
231,2025-02-20,8,indireto,7.233,2
231,2025-02-20,9,indireto,7.25,2
231,2025-02-20,10,indireto,6.867,2
231,2025-02-20,11,indireto,7.967,2
231,2025-02-20,12,indireto,8.0,2
231,2025-02-20,13,indireto,7.799,2
231,2025-02-20,14,indireto,8.0,2
231,2025-02-20,15,indireto,8.0,2
231,2025-02-20,16,indireto,8.0,2
231,2025-02-20,17,indireto,8.0,2
231,2025-02-20,18,indireto,8.0,2
231,2025-02-20,19,indireto,7.917,2
231,2025-02-20,20,indireto,7.205,2
231,2025-02-20,21,indireto,6.542,2
231,2025-02-20,22,indireto,6.899,2
231,2025-02-20,23,indireto,0.652,2
231,2025-02-21,7,indireto,6.458,2
231,2025-02-21,8,indireto,6.722,2
231,2025-02-21,9,indireto,6.949,2
