unit_id,data,hora,qtd_devices_total,qtd_dac,qtd_dut,peso_medio_dac,peso_medio_dut,consumo_kwh_total,metodos
117,2025-08-26,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-26,16,1,1,0,1.0,0.0,2.178,indireto
117,2025-08-26,17,1,1,0,1.0,0.0,3.851,indireto
117,2025-08-26,18,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-26,19,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-26,20,1,1,0,1.0,0.0,3.664,indireto
117,2025-08-26,21,1,1,0,1.0,0.0,1.689,indireto
117,2025-08-26,22,1,1,0,1.0,0.0,0.762,indireto
117,2025-08-27,7,1,1,0,1.0,0.0,4.204,indireto
117,2025-08-27,8,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-27,9,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-27,10,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-27,11,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-27,12,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-27,13,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-27,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-27,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-27,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-27,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-27,18,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-27,19,1,1,0,1.0,0.0,4.792,indireto
117,2025-08-27,20,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-27,21,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-27,22,1,1,0,1.0,0.0,0.757,indireto
117,2025-08-28,10,1,1,0,1.0,0.0,1.078,indireto
117,2025-08-28,11,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-28,12,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-28,13,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-28,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-28,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-28,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-28,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-28,18,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-28,19,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-28,20,1,1,0,1.0,0.0,3.401,indireto
117,2025-08-28,21,1,1,0,1.0,0.0,2.167,indireto
117,2025-08-28,22,1,1,0,1.0,0.0,0.229,indireto
117,2025-08-29,13,1,1,0,1.0,0.0,1.617,indireto
117,2025-08-29,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-29,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-29,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-29,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-29,18,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-29,19,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-29,20,1,1,0,1.0,0.0,2.793,indireto
117,2025-08-29,21,1,1,0,1.0,0.0,3.143,indireto
117,2025-08-29,22,1,1,0,1.0,0.0,0.379,indireto
117,2025-08-30,11,1,1,0,1.0,0.0,3.912,indireto
117,2025-08-30,12,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-30,13,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-30,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-30,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-30,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-30,17,1,1,0,1.0,0.0,5.0,indireto
